name,type,value,date
0,,38,2019-05-07,
1,,196,2019-05-07,
2,,206,2019-05-07,
3,,226,2019-05-07,
4,,169,2019-05-07,
5,,167,2019-05-07,
6,,174,2019-05-07,
7,,174,2019-05-07,
8,,168,2019-05-07,
9,,136,2019-05-07,
10,,196,2019-05-07,
11,,189,2019-05-07,
12,,95,2019-05-07,
13,,134,2019-05-07,
14,,165,2019-05-07,
15,,136,2019-05-07,
16,,98,2019-05-07,
17,,36,2019-05-07,
18,,45,2019-05-07,
19,,23,2019-05-07,
20,,11,2019-05-07,
21,,5,2019-05-07,
22,,7,2019-05-07,
23,,25,2019-05-07,
0,,38,2019-05-08,
1,,196,2019-05-08,
2,,206,2019-05-08,
3,,226,2019-05-08,
4,,172,2019-05-08,
5,,167,2019-05-08,
6,,174,2019-05-08,
7,,174,2019-05-08,
8,,169,2019-05-08,
9,,136,2019-05-08,
10,,196,2019-05-08,
11,,189,2019-05-08,
12,,98,2019-05-08,
13,,134,2019-05-08,
14,,165,2019-05-08,
15,,136,2019-05-08,
16,,98,2019-05-08,
17,,36,2019-05-08,
18,,45,2019-05-08,
19,,23,2019-05-08,
20,,11,2019-05-08,
21,,5,2019-05-08,
22,,7,2019-05-08,
23,,25,2019-05-08,
0,,38,2019-05-09,
1,,196,2019-05-09,
2,,206,2019-05-09,
3,,226,2019-05-09,
4,,172,2019-05-09,
5,,167,2019-05-09,
6,,174,2019-05-09,
7,,174,2019-05-09,
8,,169,2019-05-09,
9,,136,2019-05-09,
10,,196,2019-05-09,
11,,189,2019-05-09,
12,,98,2019-05-09,
13,,135,2019-05-09,
14,,165,2019-05-09,
15,,136,2019-05-09,
16,,98,2019-05-09,
17,,36,2019-05-09,
18,,45,2019-05-09,
19,,23,2019-05-09,
20,,11,2019-05-09,
21,,5,2019-05-09,
22,,7,2019-05-09,
23,,25,2019-05-09,
0,,38,2019-05-10,
1,,196,2019-05-10,
2,,206,2019-05-10,
3,,226,2019-05-10,
4,,172,2019-05-10,
5,,167,2019-05-10,
6,,174,2019-05-10,
7,,174,2019-05-10,
8,,169,2019-05-10,
9,,136,2019-05-10,
10,,196,2019-05-10,
11,,189,2019-05-10,
12,,99,2019-05-10,
13,,135,2019-05-10,
14,,165,2019-05-10,
15,,136,2019-05-10,
16,,98,2019-05-10,
17,,36,2019-05-10,
18,,45,2019-05-10,
19,,23,2019-05-10,
20,,11,2019-05-10,
21,,5,2019-05-10,
